933 503 25811
567 9 558 105
508 157 407 503
824 414 809 481
594 469 61 262
473 381 419 39
720 221 739 73
62 325 386 503
664 26 689 287
593 276 858 260
108 332 533 230
777 334 640 11
613 4 10 153
411 34 34 388
492 9 322 141
224 453 393 308
807 489 425 5
698 488 410 456
683 345 592 76
783 69 30 6
430 337 704 428
342 185 227 136
117 359 359 46
386 312 53 472
254 263 530 170
238 245 747 31
158 43 36 159
210 339 449 304
201 450 100 316
237 254 771 207
462 418 520 337
120 130 364 125
565 363 24 433
109 395 301 430
19 323 38 449
96 157 278 393
738 445 368 315
274 400 95 356
470 256 101 38
294 283 894 451
285 476 735 40
355 339 726 226
458 396 408 426
651 235 172 33
435 484 859 154
764 20 676 135
830 343 671 303
735 457 205 457
539 222 535 390
901 91 91 437
906 462 930 201
86 342 244 56
406 231 811 25
458 123 110 212
312 486 432 331
436 421 531 293
607 217 817 417
17 377 135 214
716 345 411 387
624 438 165 422
766 161 577 451
287 338 458 297
637 498 830 84
296 205 95 222
736 261 236 234
797 166 572 16
505 184 386 420
184 161 380 331
119 285 407 81
298 351 908 347
752 230 287 360
34 180 627 1
678 377 358 175
301 39 844 440
771 153 392 312
705 326 602 45
475 76 168 382
644 486 280 176
300 53 120 364
696 262 88 353
86 475 449 447
812 468 586 326
476 136 620 223
181 227 124 489
539 126 294 340
682 173 195 193
44 435 632 251
356 230 87 35
706 104 508 213
278 312 418 245
410 462 823 248
81 493 646 170
746 160 526 66
902 215 592 164
483 11 867 299
679 46 662 34
481 188 373 241
189 15 559 16
325 169 576 156
820 448 707 324
357 421 891 255
518 413 358 9
459 252 451 195
592 70 602 432
933 449 372 196
304 79 428 6
781 111 311 495
491 144 307 328
184 366 927 8
18 179 413 59
482 48 636 25
134 250 514 72
878 283 819 81
776 378 884 278
508 262 313 152
877 467 709 214
927 445 611 178
429 381 730 452
316 487 857 9
820 222 251 255
650 147 230 165
885 281 734 318
826 323 856 275
622 61 917 93
247 276 732 380
375 145 165 116
771 166 92 172
301 502 928 77
308 184 250 307
174 271 125 241
203 320 403 351
1 295 812 484
77 24 350 63
197 469 159 401
483 337 14 127
456 453 11 140
310 82 275 484
783 288 31 191
771 398 586 144
686 359 461 261
66 381 190 379
229 486 47 144
112 425 888 197
358 123 77 237
359 381 616 286
317 231 773 370
620 454 450 145
287 380 730 247
50 123 67 176
190 175 390 463
839 256 110 232
341 155 281 2
137 94 254 186
839 409 724 53
95 442 172 441
54 116 511 29
915 408 130 52
316 290 845 303
426 127 82 421
266 299 188 358
492 321 755 154
584 97 129 228
659 144 252 31
207 468 825 345
632 470 687 285
737 177 50 444
691 132 686 145
103 261 730 258
357 165 15 6
95 358 688 10
428 105 238 210
453 203 302 3
353 396 929 437
882 64 803 84
171 480 686 39
228 371 184 338
472 52 550 182
23 211 732 469
484 157 621 217
515 362 543 359
150 317 240 120
78 332 832 472
760 53 223 418
